type,country_canonical,country_key,aliases,exactmatch,exclusions,who_subregion,who_region,gbd_region,Mexico,Caribbean
country,Algeria,algeria,NA,,,AFRD,Africa,North Africa and Middle East,,
country,Angola,angola,NA,,,AFRD,Africa,Central Sub-Saharan Africa,,
country,Benin,benin,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Botswana,botswana,batswana,,,AFRE,Africa,Southern Sub-Saharan Africa,,
country,Burkina Faso,burkina faso,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Burundi,burundi,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Burundi,burundi,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Cabo Verde,cabo verde,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Cameroon,cameroon,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Cape Verde,cape verde,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Central African Republic,central african republic,NA,,,AFRE,Africa,Central Sub-Saharan Africa,,
country,Chad,chad,NA,chad,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Comoros,comoros,NA,,,AFRD,Africa,Eastern Sub-Saharan Africa,,
country,congo,congo,congo republic; africa (congo),,,AFRE,Africa,Central Sub-Saharan Africa,,
country,cote d'ivoire,cote d'ivoire,ivory coast; ivory; ivoire; ivoire; abidjan,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,democratic republic of the congo,democratic republic of the congo,congo (refugee); dr congo; democratic republic of congo,,,AFRE,Africa,Central Sub-Saharan Africa,,
country,Equatorial Guinea,equatorial guinea,NA,,,AFRD,Africa,Central Sub-Saharan Africa,,
country,Eritrea,eritrea,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Eswatini,eswatini,NA,,,AFRE,Africa,Southern Sub-Saharan Africa,,
country,ethiopia,ethiopia,ehtiopia,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Gabon,gabon,NA,,,AFRD,Africa,Central Sub-Saharan Africa,,
country,Gambia,gambia,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Ghana,ghana,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Guinea,guinea,guiana,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Guinea-Bissau,guinea-bissau,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Kenya,kenya,keya; nairobi,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Lesotho,lesotho,NA,,,AFRE,Africa,Southern Sub-Saharan Africa,,
country,Liberia,liberia,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Madagascar,madagascar,NA,,,AFRD,Africa,Eastern Sub-Saharan Africa,,
country,Malawi,malawi,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Mali,mali,NA,mali,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Mauritania,mauritania,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Mauritius,mauritius,NA,,,AFRD,Africa,Southeast Asia,,
country,Reunion,reunion,NA,,,AFRD,Africa,Southeast Asia,,
country,Mozambique,mozambique,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Namibia,namibia,naimbi,,,AFRE,Africa,Southern Sub-Saharan Africa,,
country,Niger,niger,NA,niger,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Nigeria,nigeria,lagos,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Rwanda,rwanda,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Sao Tome And Principe,sao tome and principe,NA,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Senegal,senegal,dakar,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Seychelles,seychelles,NA,,,AFRD,Africa,Southeast Asia,,
country,Sierra Leone,sierra leone,sierra leon,,,AFRD,Africa,Western Sub-Saharan Africa,,
country,South Africa,south africa,kapetown; capetown; cape town; johannesburg; s africa; s afr; so. Africa,,,AFRE,Africa,Southern Sub-Saharan Africa,,
country,South Sudan,south sudan,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
